                  0.1287                 -1.4466                 13.3709                 10.0011
                  0.1316                 -1.3252                 12.9566                  9.6820
                  0.1346                 -1.2085                 12.5588                  9.3787
                  0.1377                 -1.0989                 12.1750                  9.0878
                  0.1408                 -0.9983                 11.8023                  8.8055
                  0.1439                 -0.9060                 11.4404                  8.5315
                  0.1471                 -0.8213                 11.0890                  8.2656
                  0.1504                 -0.7367                 10.7540                  8.0143
                  0.1538                 -0.6596                 10.4293                  7.7709
                  0.1572                 -0.5902                 10.1139                  7.5346
                  0.1607                 -0.5276                  9.8074                  7.3050
                  0.1643                 -0.4653                  9.5133                  7.0854
                  0.1679                 -0.4066                  9.2301                  6.8745
                  0.1716                 -0.3553                  8.9548                  6.6695
                  0.1754                 -0.3106                  8.6871                  6.4702
                  0.1792                 -0.2633                  8.4302                  6.2794
                  0.1832                 -0.2195                  8.1826                  6.0958
                  0.1872                 -0.1839                  7.9418                  5.9172
                  0.1913                 -0.1547                  7.7075                  5.7435
                  0.1955                 -0.1120                  7.4843                  5.5786
                  0.1998                 -0.0832                  7.2675                  5.4184
                  0.2041                 -0.0637                  7.0565                  5.2625
                  0.2086                 -0.2313                  6.8535                  5.1128
                  0.2131                  0.0340                  6.6583                  4.9690
                  0.2177                  0.0141                  6.4683                  4.8290
                  0.2224                  0.0098                  6.2843                  4.6935
                  0.2273                  0.0127                  6.1080                  4.5638
                  0.2322                  0.0209                  5.9362                  4.4374
                  0.2372                  0.0536                  5.7698                  4.3148
                  0.2423                  0.0594                  5.6099                  4.1972
                  0.2475                  0.0699                  5.4542                  4.0825
                  0.2529                  0.0819                  5.3037                  3.9715
                  0.2583                  0.0864                  5.1589                  3.8646
                  0.2638                  0.0946                  5.0177                  3.7604
                  0.2695                  0.0989                  4.8824                  3.6602
                  0.2753                  0.1022                  4.7514                  3.5630
                  0.2812                  0.1072                  4.6242                  3.4685
                  0.2872                  0.1075                  4.5023                  3.3777
                  0.2933                  0.1100                  4.3834                  3.2891
                  0.2996                  0.1086                  4.2696                  3.2043
                  0.3059                  0.1061                  4.1592                  3.1220
                  0.3124                  0.1051                  4.0515                  3.0416
                  0.3191                  0.1060                  3.9463                  2.9632
                  0.3259                  0.1074                  3.8444                  2.8871
                  0.3328                  0.1031                  3.7474                  2.8147
                  0.3398                  0.0999                  3.6527                  2.7440
                  0.3470                  0.0983                  3.5602                  2.6749
                  0.3544                  0.0980                  3.4700                  2.6076
                  0.3619                  0.0929                  3.3847                  2.5437
                  0.3695                  0.0890                  3.3014                  2.4813
                  0.3773                  0.0863                  3.2200                  2.4202
                  0.3853                  0.0840                  3.1410                  2.3610
                  0.3934                  0.0790                  3.0660                  2.3045
                  0.4017                  0.0750                  2.9926                  2.2491
                  0.4102                  0.0723                  2.9208                  2.1951
                  0.4188                  0.0681                  2.8523                  2.1432
                  0.4276                  0.0638                  2.7861                  2.0929
                  0.4366                  0.0603                  2.7213                  2.0437
                  0.4458                  0.0569                  2.6588                  1.9961
                  0.4551                  0.0526                  2.5989                  1.9503
                  0.4647                  0.0491                  2.5403                  1.9055
                  0.4744                  0.0460                  2.4834                  1.8619
                  0.4843                  0.0420                  2.4290                  1.8201
                  0.4945                  0.0388                  2.3758                  1.7791
                  0.5048                  0.0358                  2.3242                  1.7394
                  0.5153                  0.0324                  2.2747                  1.7011
                  0.5261                  0.0296                  2.2262                  1.6636
                  0.5371                  0.0268                  2.1794                  1.6274
                  0.5483                  0.0240                  2.1341                  1.5923
                  0.5597                  0.0217                  2.0897                  1.5579
                  0.5714                  0.0191                  2.0471                  1.5249
                  0.5833                  0.0170                  2.0056                  1.4927
                  0.5954                  0.0149                  1.9652                  1.4614
                  0.6078                  0.0128                  1.9261                  1.4311
                  0.6205                  0.0110                  1.8879                  1.4015
                  0.6334                  0.0091                  1.8511                  1.3730
                  0.6465                  0.0075                  1.8151                  1.3451
                  0.6600                  0.0057                  1.7803                  1.3182
                  0.6737                  0.0042                  1.7464                  1.2919
                  0.6876                  0.0020                  1.7135                  1.2665
                  0.7019                  0.0010                  1.6815                  1.2417
                  0.7165                  0.0011                  1.6503                  1.2177
                  0.7313                 -0.0238                  1.6201                  1.1944
                  0.7464                 -0.0018                  1.5906                  1.1718
                  0.7619                 -0.0026                  1.5620                  1.1497
                  0.7777                 -0.0036                  1.5343                  1.1284
                  0.7938                 -0.0043                  1.5072                  1.1076
