,ecut,E
0,100,8.05926389117323
1,200,-3.5116260113178495
2,300,-13.47541312891117
3,400,-17.16275477430118
4,500,-18.632135057875747
5,600,-19.1104994237117
6,700,-19.258668441590036
7,800,-19.302312574126017
8,900,-19.314471586343416
9,1000,-19.3179161850596
