,ecut,E
0,100,-11.076494425339307
1,200,-22.170732337730946
2,300,-22.628826035404135
3,400,-22.726245771779414
4,500,-22.75563186643625
5,600,-22.76166057351328
6,700,-22.762937606889952
7,800,-22.76352529517812
8,900,-22.764183182790223
9,1000,-22.764400129586026
